kawalcovid_provinsi,time,harian,lat_pulau_terbesar,lon_pulau_terbesar
Aceh,6/29/2020,0,4.282691739,96.94322512
Aceh,6/30/2020,1,4.282691739,96.94322512
Aceh,7/1/2020,6,4.282691739,96.94322512
Aceh,7/2/2020,0,4.282691739,96.94322512
Aceh,7/3/2020,1,4.282691739,96.94322512
Aceh,7/4/2020,0,4.282691739,96.94322512
Aceh,7/5/2020,0,4.282691739,96.94322512
Aceh,7/6/2020,0,4.282691739,96.94322512
Aceh,7/7/2020,1,4.282691739,96.94322512
Aceh,7/8/2020,1,4.282691739,96.94322512
Aceh,7/9/2020,1,4.282691739,96.94322512
Aceh,7/10/2020,0,4.282691739,96.94322512
Aceh,7/11/2020,9,4.282691739,96.94322512
Aceh,7/12/2020,7,4.282691739,96.94322512
Aceh,7/13/2020,0,4.282691739,96.94322512
Aceh,7/14/2020,4,4.282691739,96.94322512
Aceh,7/15/2020,27,4.282691739,96.94322512
Aceh,7/16/2020,3,4.282691739,96.94322512
Aceh,7/17/2020,5,4.282691739,96.94322512
Aceh,7/18/2020,0,4.282691739,96.94322512
Aceh,7/19/2020,1,4.282691739,96.94322512
Aceh,7/20/2020,2,4.282691739,96.94322512
Aceh,7/21/2020,1,4.282691739,96.94322512
Aceh,7/22/2020,2,4.282691739,96.94322512
Aceh,7/23/2020,7,4.282691739,96.94322512
Aceh,7/24/2020,4,4.282691739,96.94322512
Aceh,7/25/2020,6,4.282691739,96.94322512
Aceh,7/26/2020,0,4.282691739,96.94322512
Aceh,7/27/2020,0,4.282691739,96.94322512
Aceh,7/28/2020,25,4.282691739,96.94322512
Aceh,7/29/2020,45,4.282691739,96.94322512
Aceh,7/30/2020,74,4.282691739,96.94322512
Aceh,7/31/2020,103,4.282691739,96.94322512
Aceh,8/1/2020,0,4.282691739,96.94322512
Aceh,8/2/2020,16,4.282691739,96.94322512
Aceh,8/3/2020,2,4.282691739,96.94322512
Aceh,8/4/2020,7,4.282691739,96.94322512
Aceh,8/5/2020,2,4.282691739,96.94322512
Aceh,8/6/2020,41,4.282691739,96.94322512
Aceh,8/7/2020,53,4.282691739,96.94322512
Aceh,8/8/2020,0,4.282691739,96.94322512
Aceh,8/9/2020,44,4.282691739,96.94322512
Aceh,8/10/2020,96,4.282691739,96.94322512
Aceh,8/11/2020,0,4.282691739,96.94322512
Aceh,8/12/2020,72,4.282691739,96.94322512
Aceh,8/13/2020,0,4.282691739,96.94322512
Aceh,8/14/2020,92,4.282691739,96.94322512
Aceh,8/15/2020,25,4.282691739,96.94322512
Aceh,8/16/2020,11,4.282691739,96.94322512
Aceh,8/17/2020,168,4.282691739,96.94322512
Aceh,8/18/2020,25,4.282691739,96.94322512
Aceh,8/19/2020,63,4.282691739,96.94322512
Aceh,8/20/2020,5,4.282691739,96.94322512
Aceh,8/21/2020,4,4.282691739,96.94322512
Aceh,8/22/2020,70,4.282691739,96.94322512
Aceh,8/23/2020,0,4.282691739,96.94322512
Aceh,8/24/2020,30,4.282691739,96.94322512
Aceh,8/25/2020,20,4.282691739,96.94322512
Aceh,8/26/2020,30,4.282691739,96.94322512
Aceh,8/27/2020,108,4.282691739,96.94322512
Aceh,8/28/2020,50,4.282691739,96.94322512
Aceh,8/29/2020,97,4.282691739,96.94322512
Aceh,8/30/2020,54,4.282691739,96.94322512
Aceh,8/31/2020,33,4.282691739,96.94322512
Aceh,9/1/2020,16,4.282691739,96.94322512
Aceh,9/2/2020,48,4.282691739,96.94322512
Aceh,9/3/2020,97,4.282691739,96.94322512
Aceh,9/4/2020,90,4.282691739,96.94322512
Aceh,9/5/2020,61,4.282691739,96.94322512
Aceh,9/6/2020,78,4.282691739,96.94322512
Aceh,9/7/2020,19,4.282691739,96.94322512
Aceh,9/8/2020,12,4.282691739,96.94322512
Aceh,9/9/2020,98,4.282691739,96.94322512
Aceh,9/10/2020,106,4.282691739,96.94322512
Aceh,9/11/2020,145,4.282691739,96.94322512
Aceh,9/12/2020,124,4.282691739,96.94322512
Aceh,9/13/2020,212,4.282691739,96.94322512
Aceh,9/14/2020,153,4.282691739,96.94322512
Aceh,9/15/2020,140,4.282691739,96.94322512
Aceh,9/16/2020,95,4.282691739,96.94322512
Aceh,9/17/2020,109,4.282691739,96.94322512
Aceh,9/18/2020,116,4.282691739,96.94322512
Aceh,9/19/2020,175,4.282691739,96.94322512
Aceh,9/20/2020,68,4.282691739,96.94322512
Aceh,9/21/2020,99,4.282691739,96.94322512
Aceh,9/22/2020,91,4.282691739,96.94322512
Aceh,9/23/2020,50,4.282691739,96.94322512
Aceh,9/24/2020,56,4.282691739,96.94322512
Aceh,9/25/2020,91,4.282691739,96.94322512
Aceh,9/26/2020,191,4.282691739,96.94322512
Aceh,9/27/2020,73,4.282691739,96.94322512
Aceh,9/28/2020,79,4.282691739,96.94322512
Aceh,9/29/2020,146,4.282691739,96.94322512
Aceh,9/30/2020,83,4.282691739,96.94322512
Aceh,10/1/2020,112,4.282691739,96.94322512
Aceh,10/2/2020,188,4.282691739,96.94322512
Aceh,10/3/2020,73,4.282691739,96.94322512
Aceh,10/4/2020,67,4.282691739,96.94322512
Aceh,10/5/2020,70,4.282691739,96.94322512
Aceh,10/6/2020,118,4.282691739,96.94322512
Aceh,10/7/2020,72,4.282691739,96.94322512
Aceh,10/8/2020,169,4.282691739,96.94322512
Aceh,10/9/2020,123,4.282691739,96.94322512
Aceh,10/10/2020,98,4.282691739,96.94322512
Aceh,10/11/2020,123,4.282691739,96.94322512
Aceh,10/12/2020,77,4.282691739,96.94322512
Aceh,10/13/2020,51,4.282691739,96.94322512
Aceh,10/14/2020,65,4.282691739,96.94322512
Aceh,10/15/2020,117,4.282691739,96.94322512
Aceh,10/16/2020,177,4.282691739,96.94322512
Aceh,10/17/2020,182,4.282691739,96.94322512
Aceh,10/18/2020,115,4.282691739,96.94322512
Aceh,10/19/2020,116,4.282691739,96.94322512
Aceh,10/20/2020,98,4.282691739,96.94322512
Aceh,10/21/2020,79,4.282691739,96.94322512
Aceh,10/22/2020,103,4.282691739,96.94322512
Aceh,10/23/2020,90,4.282691739,96.94322512
Aceh,10/24/2020,88,4.282691739,96.94322512
Aceh,10/25/2020,87,4.282691739,96.94322512
Aceh,10/26/2020,40,4.282691739,96.94322512
Aceh,10/27/2020,13,4.282691739,96.94322512
Aceh,10/28/2020,74,4.282691739,96.94322512
Aceh,10/29/2020,34,4.282691739,96.94322512
Aceh,10/30/2020,21,4.282691739,96.94322512
Aceh,10/31/2020,11,4.282691739,96.94322512
Aceh,11/1/2020,21,4.282691739,96.94322512
Aceh,11/2/2020,31,4.282691739,96.94322512
